level,position,tech_stack,experience,gender,company,company_size,work_type,city,currency,salary,raise_period
0,34,1385,0,0,34,1,1,40,3,10,2
2,53,805,1,0,34,3,0,41,3,39,2
2,17,1247,6,0,6,4,0,70,3,59,2
1,22,60,1,1,23,6,1,70,3,45,2
0,22,1219,1,0,27,2,2,70,3,16,2
2,53,1033,1,0,34,3,2,70,3,48,2
0,34,1385,0,0,2,4,0,70,3,25,2
1,33,408,1,0,23,3,0,40,3,23,3
1,34,1385,1,0,23,4,2,70,3,37,2
2,39,1346,2,0,41,2,2,70,3,47,2
0,2,449,1,0,2,4,0,70,3,23,2
0,22,1078,1,0,34,5,0,71,3,23,1
2,47,452,2,0,2,4,2,71,3,64,2
2,19,1252,6,0,23,4,0,70,3,60,4
1,22,60,5,0,6,4,2,70,3,24,1
1,22,87,1,0,23,4,2,70,3,37,2
0,21,886,1,1,34,5,1,40,3,20,1
2,48,886,4,0,23,4,0,70,3,88,1
2,22,3,2,0,23,4,1,70,3,71,2
1,21,1410,5,0,6,4,2,70,3,50,1
2,17,805,7,0,6,4,2,70,3,70,2
2,47,309,7,0,2,4,0,70,3,60,1
2,48,449,4,0,23,4,2,70,3,86,1
0,48,449,7,0,41,4,2,40,3,86,2
2,2,449,7,0,23,4,1,40,3,43,2
2,21,886,6,1,6,2,0,40,3,38,2
0,2,1044,0,0,34,2,2,70,3,23,4
0,2,3,1,0,6,4,2,40,3,28,2
2,19,372,7,1,23,4,0,70,3,46,2
1,19,372,5,0,23,4,1,71,3,28,1
1,21,886,1,0,23,4,0,70,3,26,1
2,47,165,7,0,23,4,0,70,3,56,1
0,31,934,1,0,41,2,2,52,3,16,1
2,22,3,7,0,34,5,0,70,3,50,1
1,2,661,1,1,23,4,0,70,3,36,2
2,2,3,6,0,38,2,2,70,3,60,2
2,53,182,4,0,34,1,0,70,3,69,2
2,53,449,7,0,23,4,0,70,3,75,2
0,22,7,0,0,3,4,1,40,3,24,2
2,2,3,7,1,3,6,0,70,3,50,1
0,34,1386,5,0,23,2,1,70,3,87,1
1,19,372,1,0,21,5,2,40,3,28,2
2,19,372,5,0,23,6,0,40,3,50,2
1,31,934,5,0,23,4,2,70,3,41,2
1,22,1166,1,1,6,4,1,70,3,20,1
2,33,1388,1,1,23,4,0,70,3,36,2
2,13,1371,6,0,23,4,0,70,3,50,2
1,2,3,5,0,27,4,2,64,3,38,2
2,40,449,6,0,6,6,2,41,3,49,1
2,13,814,7,0,34,2,2,70,0,55,1
0,22,405,0,0,34,5,2,34,3,1,1
2,19,372,7,0,23,4,1,40,3,40,2
0,22,627,1,0,23,2,2,50,3,21,2
2,22,3,4,0,23,4,0,70,3,50,2
2,47,980,2,0,23,4,0,70,3,14,3
2,53,416,7,1,6,4,2,52,3,89,1
2,53,1412,2,0,23,4,0,70,3,47,2
0,19,372,1,0,23,4,1,70,3,25,2
2,10,1055,6,0,34,1,0,70,3,45,2
0,21,1069,0,0,23,2,0,40,3,20,1
2,22,307,4,0,23,3,1,95,3,69,2
2,22,449,7,0,2,4,2,70,3,60,2
2,2,1204,7,0,23,4,2,3,0,33,1
2,53,202,2,0,23,6,0,70,3,83,2
2,40,855,6,1,23,4,0,70,3,45,1
